"","V1","V2","V3","V4","V5"
"result.644",-75346.1539529011,-75143.9370482113,-75309.3802144033,-75224.3448101788,-75081.9774131313
"result.645",-74925.2788930808,-74715.8933311469,-74909.7343182616,-74764.1279534451,-74656.378873311
"result.646",-74224.442824735,-74030.6395848899,-74276.3769123048,-74135.3515995502,-74021.2890056541
"result.647",-74081.4666099615,-73880.9089765939,-74133.9715495588,-74010.5162447178,-73863.6323061915
"result.648",-74296.0811061038,-74093.9026257994,-74324.3271234365,-74188.6592637043,-74053.108252012
"result.649",-74057.8931004633,-73880.881024318,-74176.8140008202,-74026.0731712478,-73902.7380718963
"result.650",-74459.9023096197,-74297.8157366482,-74579.8924524365,-74454.1273415018,-74304.3565126902
"result.651",-66214.8718336486,-66049.7584537799,-66352.3376247214,-66214.80151916,-66079.7609405395
"result.652",-74775.6210650802,-74589.1005002245,-74817.3561567317,-74693.4617041419,-74583.4925986317
"result.653",-74261.3564369828,-74077.5288848027,-74346.6604456622,-74185.9117349207,-74021.9148542335
"result.654",-74343.3292582349,-74152.9447853363,-74560.5411281181,-74458.0207594005,-74374.5026812672
"result.655",-74861.4945560334,-74671.8823083627,-75017.0781831934,-74857.2263922946,-74728.7347449702
"result.656",-74112.8448649034,-73914.3666735441,-74097.7139969885,-73931.5091153331,-73798.0919811498
"result.657",-74761.3652139944,-74556.231004227,-74733.0329019102,-74668.4319745361,-74531.6721476038
"result.658",-75157.0748247068,-74960.2685156347,-75049.8608957528,-75015.7375286007,-74901.5139926139
"result.659",-76065.9983260869,-75857.6172397045,-75960.6988308982,-75842.8620665977,-75686.9992470451
"result.660",-77487.8181200458,-77311.1100405946,-77474.7794294145,-77364.2960819967,-77209.8798898366
"result.661",-79055.2149055389,-78847.4898452661,-78899.1697418968,-78762.6876121532,-78658.891149755
"result.662",-79557.5968945006,-79387.3313297286,-79534.4163302222,-79433.7172769945,-79281.6714110903
"result.663",-81715.870038539,-81574.2189807905,-81623.6610052653,-81520.4019406273,-81400.9116881248
"result.664",-81559.4166507357,-81376.5230790402,-81515.1978412268,-81436.8934946005,-81322.320709313
"result.665",-82117.9022036824,-82016.2096343866,-82100.4470431294,-81985.5386834884,-81845.3392291193
"result.666",-82262.245896856,-82105.9267100939,-82223.3604512705,-82110.4375487053,-81961.3604009901
"result.667",-82927.4018119692,-82751.1142012257,-82805.5188975068,-82728.7159442645,-82602.0938228103
"result.668",-83306.7882612861,-83152.4691245631,-83142.6186139345,-83007.3511514511,-82833.0530605236
"result.669",-83370.0465239603,-83149.5790167795,-83188.7878787695,-83073.5289865041,-82934.5498835169
"result.670",-84213.5451828423,-84042.7091997596,-84005.4619518041,-83853.7574411287,-83686.686863444
"result.671",-83608.4271216438,-83381.6961211444,-83416.5327443634,-83359.9641061461,-83256.2268094617
"result.672",-84769.725298234,-84525.5888110328,-84478.4445870139,-84348.0387837611,-84119.5274926403
"result.673",-85044.3225510377,-84806.6932018454,-84835.0702688945,-84720.7105980823,-84540.6492849346
"result.674",-85435.3002240937,-85202.028816716,-85268.1164221471,-85153.9166710435,-85015.575932547
"result.675",-87303.6452357316,-87141.1090974939,-87069.3635934146,-86903.8793478061,-86704.1905693692
"result.676",-84872.4557412903,-84904.5368289497,-84825.066454639,-84707.484149525,-84507.4819997384
"result.677",-84856.8288407552,-84957.1707122704,-84928.8080638656,-84840.8468619212,-84703.5544859228
"result.678",-87950.549696104,-87784.37717065,-87809.5813671387,-87698.8513016282,-87508.7545434874
"result.679",-86816.2004994667,-86580.1975708869,-86499.6793489134,-86355.1645887348,-86189.5776156746
"result.680",-85908.0653569902,-85672.8471333334,-85691.7393342929,-85558.4123801517,-85402.1143272748
"result.681",-83798.2986984221,-83571.8562099178,-83767.589826636,-83624.0479708865,-83437.694698093
