"","V1","V2","V3","V4","V5"
"result.2384",-106510.946894721,-106508.694140457,-106487.573571354,-106272.277564193,-105887.448957469
"result.2385",-107055.039957689,-107057.558552092,-107089.405554027,-107011.556991678,-106804.840277545
"result.2386",-107219.264784307,-107245.608191116,-107291.694284036,-107164.623542733,-106901.29557984
"result.2387",-106715.794556565,-106823.616297418,-106908.416274794,-106881.502924027,-106688.675674884
"result.2388",-107293.676620121,-107364.770086435,-107412.938631577,-107324.58637082,-107062.144795363
"result.2389",-107771.011442254,-107763.870795684,-107810.692359177,-107733.593048403,-107482.079929901
"result.2390",-109072.600926221,-109106.573142609,-109114.647448869,-109024.888598228,-108790.507674916
"result.2391",-109574.134817973,-109652.667158744,-109717.208288154,-109591.27864611,-109331.504815551
"result.2392",-109515.625049624,-109562.620380516,-109570.456583269,-109446.452871734,-109182.511084051
"result.2393",-109815.826822932,-109909.761530701,-110007.512050038,-110001.838858081,-109789.206471651
"result.2394",-111687.370479441,-111790.203037635,-111832.700285613,-111767.988101442,-111511.484165678
"result.2395",-113044.139474913,-113109.816925765,-113110.732074318,-112961.540915233,-112652.868224502
"result.2396",-111942.483293812,-112069.46229063,-112147.104977326,-112075.484224026,-111835.567241032
"result.2397",-112680.167598134,-112950.450715248,-113007.202860436,-113001.164425834,-112788.125350837
"result.2398",-112128.546141813,-112276.09568713,-112346.550441612,-112288.325395029,-112004.580076115
"result.2399",-113610.265853773,-113621.971589846,-113590.916512866,-113435.459515362,-113089.284141663
"result.2400",-112804.859503173,-112815.217961403,-112777.806178869,-112608.392848948,-112269.969298192
"result.2401",-113239.539606609,-113262.621400709,-113223.008377163,-113059.057572293,-112671.569981618
"result.2402",-112576.046850962,-112612.657200082,-112616.573057525,-112507.5638369,-112197.885746703
"result.2403",-114044.756805684,-114063.245473917,-114039.566656001,-113845.392795609,-113549.908077792
"result.2404",-113174.613677821,-113240.921935763,-113253.208718813,-113148.720671236,-112866.02055615
"result.2405",-114678.191477377,-114767.186174026,-114741.443076329,-114574.635163434,-114244.708026026
"result.2406",-113271.533607887,-113443.143969445,-113423.532697657,-113329.787091653,-113081.79265962
"result.2407",-112963.950769329,-113062.304048566,-113013.985293396,-112900.212522193,-112688.903863896
"result.2408",-114500.188175857,-114624.038962652,-114577.820920538,-114407.866459564,-114055.478891473
"result.2409",-114957.012819748,-115017.545146955,-114924.583128908,-114709.40278364,-114345.212600491
"result.2410",-114945.009692451,-114942.093108643,-114854.560862349,-114662.541117131,-114279.221954836
"result.2411",-113831.138458549,-113891.111618836,-113876.140286953,-113780.494813543,-113401.783708048
"result.2412",-114058.770929651,-114076.37860679,-114005.198013437,-113775.451738486,-113390.085659706
"result.2413",-113561.023680357,-113493.328873888,-113381.011053282,-113163.766581819,-112802.549571569
"result.2414",-113425.434297288,-113382.497245518,-113358.848349054,-113191.891942614,-112874.847995172
"result.2415",-114107.524106543,-114123.48734337,-114068.138550858,-113903.522264039,-113565.794017018
"result.2416",-113455.072854394,-113459.256140611,-113373.728047736,-113139.412359337,-112691.98271642
"result.2417",-113500.137398448,-113542.888036985,-113520.69985651,-113382.810431072,-113057.166250554
"result.2418",-113701.052735066,-113719.276760455,-113694.206261095,-113517.41311789,-113181.237580495
"result.2419",-113621.466903116,-113638.611653624,-113611.698665539,-113427.386328178,-113065.919126837
"result.2420",-114736.53891063,-114770.345210594,-114756.33954333,-114596.819525779,-114285.462478687
"result.2421",-113333.43186377,-113427.521674254,-113512.092755588,-113447.82014911,-113188.70753421
"result.2422",-114045.768482952,-114167.411985097,-114197.213802069,-114087.969499507,-113764.226908631
"result.2423",-113698.188775345,-113750.243104632,-113702.986794331,-113515.852946416,-113181.232647754
"result.2424",-112858.450601511,-112855.055434304,-112851.941967066,-112747.772870474,-112441.183242144
"result.2425",-112814.484383112,-112997.975959685,-113039.923237365,-112973.732158144,-112743.318177675
"result.2426",-112240.196154098,-112332.991416914,-112369.160489929,-112285.444792917,-112022.667232075
"result.2427",-112946.174436333,-113089.467522463,-113107.096962813,-113033.737885553,-112800.604995113
"result.2428",-112237.004290238,-112331.208615213,-112371.095299907,-112268.509467955,-112021.592005815
"result.2429",-110279.159386234,-110328.410647113,-110359.207326179,-110318.71101332,-110077.857570851
